d_pres_fav,r_pres_fav,vt_pres_2,vt_pres_4,vt_sen,vt_gov,likely,scale,partyid,sample,phoneuse,gender,educ,hisp,cuban,race,age,racer,turnout_score,turnout_class,region,rvweight,likelyyn,lvweight,file_race,file_party,file_county,file_age,state,poll,poll_id,file_vt16,file_vt14,file_vt12
Favorable,Unfavorable,"Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Katie McGinty, the Democrat",,Almost certain,Ten (definitely will vote),Democrat,Landline,Landline and Cell Phone,Female,Graduate or Professional degree,No,,Caucasian/White,66,Caucasian/White,0.986751,High,Philadelphia Suburbs,1.29099893569946,,1.28244671324992,White,Democratic,Bucks,66,Pennsylvania,October,Pennsylvania October,1,1,1
Unfavorable,Favorable,"Donald Trump, the Republican","Gary Johnson, the Libertarian","Pat Toomey, the Republican",,Almost certain,Ten (definitely will vote),Republican,Landline,Landline and Cell Phone,Female,High school,No,,Caucasian/White,89,Caucasian/White,0.968192,High,Southeast,1.12565398216248,,1.10775158123016,White,Republican,York,89,Pennsylvania,October,Pennsylvania October,0,1,1
Unfavorable,Unfavorable,"Donald Trump, the Republican","Donald Trump, the Republican","Pat Toomey, the Republican",,Almost certain,Nine,Republican,Landline,Landline and Cell Phone,Female,Some college or trade school,No,,Caucasian/White,20,Caucasian/White,0.493165,Low,Philadelphia Suburbs,0.984696507453918,,0.735157180276215,White,Democratic,Bucks,20,Pennsylvania,October,Pennsylvania October,1,0,0
Favorable,Unfavorable,"Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Katie McGinty, the Democrat",,Very likely,Ten (definitely will vote),Democrat,Landline,Landline and Cell Phone,Female,High school,No,,Caucasian/White,79,Caucasian/White,0.979834,High,Philadelphia Suburbs,1.47588706016541,,1.46100569093776,Black,Democratic,Delaware,79,Pennsylvania,October,Pennsylvania October,1,1,1
Favorable,Unfavorable,"Hillary Clinton, the Democrat","Hillary Clinton, the Democrat",[DO NOT READ] Don't know/No opinion,,Very likely,Ten (definitely will vote),Democrat,Landline,Landline and Cell Phone,Female,High school,No,,Caucasian/White,53,Caucasian/White,0.715208,Middle,Southeast,1.0503556728363,,0.900789226447105,White,Democratic,Lancaster,53,Pennsylvania,October,Pennsylvania October,1,0,1
Favorable,Unfavorable,"Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Katie McGinty, the Democrat",,Very likely,Ten (definitely will vote),Democrat,Landline,Landline and Cell Phone,Female,Some college or trade school,No,,Caucasian/White,50,Caucasian/White,0.98699,High,Philadelphia Suburbs,1.18249619007111,,1.17480405235469,White,Democratic,Montgomery,50,Pennsylvania,October,Pennsylvania October,1,1,1
Unfavorable,Favorable,"Donald Trump, the Republican","Donald Trump, the Republican","Pat Toomey, the Republican",,Almost certain,Ten (definitely will vote),Republican,Landline,Landline and Cell Phone,Female,Some college or trade school,No,,Caucasian/White,42,Caucasian/White,0.989064,High,Northeast,1.02257645130157,,1.01698500326586,White,Republican,Susquehanna,42,Pennsylvania,October,Pennsylvania October,1,1,1
Favorable,Unfavorable,"Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Pat Toomey, the Republican",,Almost certain,Ten (definitely will vote),Democrat,Landline,Landline and Cell Phone,Female,High school,No,,Caucasian/White,69,Caucasian/White,0.654427,Middle,West,1.11083984375,,0.918901715087891,White,Other,Fayette,69,Pennsylvania,October,Pennsylvania October,1,0,1
Unfavorable,Unfavorable,[DO NOT READ] Someone else (specify),[DO NOT READ] Someone else (specify),"Pat Toomey, the Republican",,Almost certain,Ten (definitely will vote),Democrat,Cell,Cell Phone only,Female,Some college or trade school,No,,Caucasian/White,56,Caucasian/White,0.604263,Middle,West,1.07733559608459,,0.86416481769073,Unknown,Democratic,Beaver,56,Pennsylvania,October,Pennsylvania October,1,0,0
Unfavorable,Unfavorable,"Donald Trump, the Republican","Donald Trump, the Republican","Pat Toomey, the Republican",,Almost certain,Ten (definitely will vote),Republican,Landline,Landline and Cell Phone,Female,Some college or trade school,No,,Caucasian/White,33,Caucasian/White,0.978127,High,Southeast,1.16998326778412,,1.157187745776,Unknown,Republican,Dauphin,33,Pennsylvania,October,Pennsylvania October,1,1,1
